"id","name","latitude","longitude","country"
"35133","Cork Airport","51.848973","-8.489024","IE"
"9187","Aéroport Paris Orly","48.7294","2.3681","FR"
"34727","Osijek Airport","45.466291","18.807394","HR"
"35800","Oslo Airport (Gardermoen)","60.197550","11.100415","NO"
"35201","Bucharest Henri Coandă Airport","44.570516","26.084533","RO"
"35837","Plovdiv Airport","42.071428","24.862299","BG"
"34813","Perugia Aeroporto","43.09522","12.50240","IT"
"35911","Perpignan Airport","42.740922","2.866995","FR"
"26011","Prestwick International Airport","55.511513","-4.616166","GB"
"35310","Parma Airport","44.8213","10.2979","IT"
"20548","Palermo Aeroporto","38.186443","13.105585","IT"
"35301","Secovlje Portorož Airport","45.474404","13.616712","SI"
"35907","Poznan Airport","52.413397","16.826535","PL"
"33327","Praha Airport (Václav Havel)","50.106386","14.268779","CZ"
"38540","Pristina Airport","42.574261","21.028887","RS"
"23116","Pisa Aeroporto","43.698969","10.400705","IT"
"34282","Pula Airport","44.899504","13.923368","HR"
"35933","Lausanne Airport","46.541491","6.617771","CH"
"23050","Reggio di Calabria Aeroporto","38.067473","15.651881","IT"
"35965","Reus Airport","41.146708","1.153561","ES"
"35844","Riga Airport","56.920449","23.976914","LV"
"35282","Rijeka Airport","45.223743","14.565147","HR"
"35843","Rzeszów Airport","50.111838","22.031845","PL"
"35954","Sibiu Airport","45.790167","24.092789","RO"
"38523","Santiago de Compostela Airport","42.897950","-8.420665","ES"
"26214","Southend Airport","51.5687","0.704084","GB"
"37598","Thessaloniki Airport","40.524779","22.976434","GR"
"38446","Skopje Airport","41.9616","21.6214","MK"
"35953","Shannon Airport","52.699657","-8.914691","IE"
"35835","Sofia Airport","42.688520","23.397190","BG"
"8000","Southampton Airport Parkway","50.950638","-1.36362","GB"
"34270","Split Airport","43.5363","16.2997","HR"
"8372","Stansted Airport","51.888979","0.26162","GB"
"13546","Stuttgart Flughafen/Messe","48.690647","9.192629","DE"
"28987","Lamezia Terme Aeroporto","38.90539","16.24227","IT"
"38700","Moscow Sheremetyevo Airport Train Station","55.963829","37.415615","RU"
"1036","Entzheim Aéroport","48.54699","7.62794","FR"
"7506","Berlin Flughafen BER - Terminal 5 (Schönefeld)","52.391641","13.513178","DE"
"34278","Salzburg Airport","47.792484","12.995564","AT"
"35145","Szczecin Airport","53.610785","14.911664","PL"
"35212","Tirana Airport","41.418218","19.713871","AL"
"38319","Tallinn Airport","59.416200","24.798823","EE"
"35222","Toulouse Airport","43.630144","1.375458","FR"
"22273","Torino Aeroporto di Caselle","45.191859","7.641624","IT"
"33318","Trieste Aeroporto","45.817416","13.485479","IT"
"33325","Treviso Aeroporto","45.655109","12.204502","IT"
"38399","Timisoara Airport","45.810147","21.320177","RO"
"16767","Berlin Flughafen Tegel","52.554085","13.292403","DE"
"35839","Varna Airport","43.237526","27.811074","BG"
"33322","Venezia Aeroporto Marco Polo","45.505364","12.339077","IT"
"23019","Flughafen Wien","48.120833","16.563056","AT"
"38698","Vnukovo Airport Train Station","55.605939","37.288528","RU"
"35102","Valencia Airport","39.491642","-0.47329","ES"
"34746","Valladolid Aeropuerto","41.7051","-4.8547","ES"
"35109","Vilnius Airport","54.638037","25.286558","LT"
"34276","Verona Aeroporto","45.403","10.9082","IT"
"37616","Stockholm Vasteras Airport","59.6017","16.62798","SE"
"33348","Warszawa Chopin","52.169192","20.973514","PL"
"33347","Warszawa Modlin","52.445878","20.650708","PL"
"34631","Wrocław Airport","51.104165","16.880933","PL"
"35292","Paris Vatry Airport","48.780885","4.189937","FR"
"24044","Jerez-Aeropuerto","36.751381","-6.066325","ES"
"35319","Zadar Airport","44.0964","15.3531","HR"
"34269","Zagreb Airport","45.741","16.081","HR"
"18234","Zürich Flughafen","47.450279","8.562333","CH"
"17569","’s-Hertogenbosch","51.690671","5.293801","NL"
"18947","’s-Hertogenbosch Oost","51.700559","5.317389","NL"
"18966","’t Harde","52.409107","5.892941","NL"
"23636","A Alberguería-Prado","42.1257","-7.5126","ES"
"31681","A Amarela","42.936374","-9.208580","ES"
"31682","A Áspera","42.589664","-7.484864","ES"
"31683","A Barosela","42.568332","-8.605764","ES"
"29680","A Barrela","42.539661","-7.814721","ES"
"29684","A Bola","42.156594","-7.905869","ES"
"27507","A Cañiza","42.212886","-8.272978","ES"
"31684","A Carqueixa","42.439136","-7.582566","ES"
"27049","A Coruña","43.37135","-8.396","ES"
"6659","A Coruña-San Cristovo","43.352681","-8.409651","ES"
"31685","A Derrasa","42.322138","-7.786581","ES"
"23637","A Escravitude","42.739","-8.65259","ES"
"31686","A Estrada","42.753843","-8.381322","ES"
"31687","A Fraga","42.312900","-8.726750","ES"
"23638","A Friela-Maside","42.411637","-8.028661","ES"
"23639","A Gudiña","42.060841","-7.132482","ES"
"74642","A Gudiña – Porta de Galicia","42.06367","-7.13436","ES"
"31688","A Igrexa","42.47186","-8.60106","ES"
"31690","A Lanzada","42.42798","-8.87127","ES"
"29752","A Madanela","41.917","-7.58832","ES"
"38170","A Mezquita","42.011848","-7.044964","ES"
