"YHZ","Halifax / Stanfield International Airport","Halifax","44.8807983398","-63.5085983276"
"YIB","Atikokan Municipal Airport","Atikokan","48.7738990784","-91.6386032104"
"YIO","Pond Inlet Airport","Pond Inlet","72.6832962036","-77.9666976929"
"YJN","St Jean Airport","St. Jean","45.29439926147461","-73.28109741210938"
"YJT","Stephenville Airport","Stephenville","48.5442008972168","-58.54999923706055"
"YKA","Kamloops Airport","Kamloops","50.7022018433","-120.444000244"
"YKF","Waterloo Airport","Waterloo","43.460800170899994","-80.3786010742"
"YKL","Schefferville Airport","Schefferville","54.805301666259766","-66.8052978515625"
"YKY","Kindersley Airport","Kindersley","51.5175018311","-109.180999756"
"YKZ","Buttonville Municipal Airport","Toronto","43.86220169067383","-79.37000274658203"
"YLD","Chapleau Airport","Chapleau","47.81999969482422","-83.3467025756836"
"YLJ","Meadow Lake Airport","Meadow Lake","54.125301361083984","-108.52300262451172"
"YLL","Lloydminster Airport","Lloydminster","53.309200286865234","-110.072998046875"
"YLT","Alert Airport","Alert","82.51779937740001","-62.2806015015"
"YLW","Kelowna International Airport","Kelowna","49.9561004639","-119.377998352"
"YMA","Mayo Airport","Mayo","63.61640167236328","-135.8679962158203"
"YMJ","Moose Jaw Air Vice Marshal C. M. McEwen Airport","Moose Jaw","50.330299377441406","-105.55899810791016"
"YMM","Fort McMurray Airport","Fort Mcmurray","56.653301239","-111.222000122"
"YMO","Moosonee Airport","Moosonee","51.291099548339844","-80.60780334472656"
"YMW","Maniwaki Airport","Maniwaki","46.2728004456","-75.9906005859"
"YMX","Montreal International (Mirabel) Airport","Montreal","45.679501","-74.038696"
"YNA","Natashquan Airport","Natashquan","50.189998626708984","-61.78919982910156"
"YND","Ottawa / Gatineau Airport","Gatineau","45.521701812699995","-75.5635986328"
"YNM","Matagami Airport","Matagami","49.76169967651367","-77.80280303955078"
"YOC","Old Crow Airport","Old Crow","67.57060241699219","-139.83900451660156"
"YOD","CFB Cold Lake","Cold Lake","54.404998779296875","-110.27899932861328"
"YOJ","High Level Airport","High Level","58.62139892578125","-117.16500091552734"
"YOW","Ottawa Macdonald-Cartier International Airport","Ottawa","45.3224983215332","-75.66919708251953"
"YPA","Prince Albert Glass Field","Prince Albert","53.214199066199996","-105.672996521"
"YPE","Peace River Airport","Peace River","56.226898","-117.446999"
"YPG","Southport Airport","Portage-la-prairie","49.903099","-98.273817"
"\N","Pitt Meadows Airport","Pitt Meadows","49.21609878540039","-122.70999908447266"
"YPL","Pickle Lake Airport","Pickle Lake","51.4463996887207","-90.21420288085938"
"YPN","Port Menier Airport","Port Menier","49.83639907836914","-64.2885971069336"
"YPQ","Peterborough Airport","Peterborough","44.22999954223633","-78.36329650878906"
"YPR","Prince Rupert Airport","Prince Pupert","54.286098480199996","-130.445007324"
"YPY","Fort Chipewyan Airport","Fort Chipewyan","58.7672004699707","-111.11699676513672"
"YQA","Muskoka Airport","Muskoka","44.974700927734375","-79.30329895019531"
"YQB","Quebec Jean Lesage International Airport","Quebec","46.7911","-71.393303"
"YQF","Red Deer Regional Airport","Red Deer Industrial","52.18220138549805","-113.89399719238281"
"YQG","Windsor Airport","Windsor","42.27560043334961","-82.95559692382812"
"YQH","Watson Lake Airport","Watson Lake","60.11640167236328","-128.82200622558594"
"YQK","Kenora Airport","Kenora","49.788299560546875","-94.36309814453125"
"YQL","Lethbridge County Airport","Lethbridge","49.6302986145","-112.800003052"
"YQM","Greater Moncton International Airport","Moncton","46.11220169067383","-64.67859649658203"
"YQQ","Comox Airport","Comox","49.71080017089844","-124.88700103759766"
"YQR","Regina International Airport","Regina","50.43190002441406","-104.66600036621094"
"YQT","Thunder Bay Airport","Thunder Bay","48.37189865112305","-89.32389831542969"
"YQU","Grande Prairie Airport","Grande Prairie","55.1796989441","-118.885002136"
"YQV","Yorkton Municipal Airport","Yorkton","51.26470184326172","-102.46199798583984"
"YQW","North Battleford Airport","North Battleford","52.76919937133789","-108.24400329589844"
"YQX","Gander International Airport","Gander","48.9369010925293","-54.56809997558594"
"YQY","Sydney / J.A. Douglas McCurdy Airport","Sydney","46.1614","-60.047798"
"YQZ","Quesnel Airport","Quesnel","53.026100158691406","-122.51000213623047"
"YRB","Resolute Bay Airport","Resolute","74.7169036865","-94.9693984985"
"YRI","Rivière-du-Loup Airport","Riviere Du Loup","47.764400482177734","-69.58470153808594"
"YRJ","Roberval Airport","Roberval","48.52000045776367","-72.2656021118164"
"YRM","Rocky Mountain House Airport","Rocky Mountain House","52.4296989441","-114.903999329"
"YRT","Rankin Inlet Airport","Rankin Inlet","62.8114013672","-92.1157989502"
"YSB","Sudbury Airport","Sudbury","46.625","-80.79889678955078"
"YSC","Sherbrooke Airport","Sherbrooke","45.4385986328125","-71.69139862060547"
"YSJ","Saint John Airport","St. John","45.31610107421875","-65.89029693603516"
"YSM","Fort Smith Airport","Fort Smith","60.020301818847656","-111.96199798583984"
"YSR","Nanisivik Airport","Nanisivik","72.982201","-84.613602"
"YSU","Summerside Airport","Summerside","46.44060134887695","-63.83359909057617"
"YSY","Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport","Sachs Harbour","71.9938964844","-125.242996216"
"YTE","Cape Dorset Airport","Cape Dorset","64.2300033569","-76.5267028809"
"YTH","Thompson Airport","Thompson","55.80110168457031","-97.86419677734375"
